id,latitude,longitude,neighbourhood_cleansed,room_type,accommodates,bedrooms,beds,bathrooms_clean,price,price_per_person,minimum_nights,availability_365,host_is_superhost,host_identity_verified,host_has_profile_pic,instant_bookable,number_of_reviews,reviews_per_month,review_scores_rating
438431,38.71359,-9.12974,So Vicente,Entire home/apt,4,1.0,2.0,1.0,109.0,27.25,4,236,0.0,1.0,1.0,1,558,3.52,4.47
444996,38.71441,-9.14908,Misericrdia,Private room,2,1.0,1.0,1.0,101.0,50.5,3,239,1.0,1.0,1.0,1,395,2.6,4.84
447832,38.7116263,-9.1461882,Misericrdia,Entire home/apt,2,1.0,1.0,1.0,119.0,59.5,4,237,1.0,1.0,1.0,0,876,5.47,4.98
449923,38.70909,-9.40647,Cascais e Estoril,Entire home/apt,3,1.0,5.0,1.0,65.0,21.666666666666668,3,57,0.0,1.0,1.0,0,66,0.42,4.6
451351,38.70984,-9.13632,Santa Maria Maior,Entire home/apt,9,3.0,8.0,2.0,233.0,25.88888888888889,1,304,1.0,0.0,1.0,1,217,1.43,4.62
454267,38.7143,-9.13059,So Vicente,Entire home/apt,3,1.0,1.0,1.0,88.0,29.333333333333332,2,115,0.0,1.0,1.0,0,372,2.51,4.6
454306,38.71189,-9.12867,Santa Maria Maior,Entire home/apt,3,1.0,1.0,1.0,75.0,25.0,2,117,0.0,1.0,1.0,1,406,2.75,4.41
454328,38.71189,-9.12867,Santa Maria Maior,Entire home/apt,3,1.0,2.0,1.0,80.0,26.666666666666668,2,79,0.0,1.0,1.0,1,426,2.71,4.52
464021,38.69601,-9.42239,Cascais e Estoril,Private room,1,1.0,1.0,1.0,60.0,60.0,2,265,1.0,1.0,1.0,0,148,0.93,4.97
473519,38.7056,-9.23021,"Algs, Linda-a-Velha e Cruz Quebrada-Dafundo",Private room,2,2.0,1.0,2.0,50.0,25.0,2,286,1.0,1.0,1.0,1,39,0.42,4.87
474818,38.71284,-9.13085,Santa Maria Maior,Entire home/apt,4,1.0,2.0,1.0,89.0,22.25,1,154,1.0,1.0,1.0,0,719,4.76,4.77
478989,38.71135,-9.13616,Santa Maria Maior,Private room,2,1.0,1.0,1.0,140.0,70.0,1,95,1.0,1.0,1.0,1,137,0.86,4.74
487394,38.71259,-9.12912,Santa Maria Maior,Entire home/apt,2,1.0,1.0,1.0,69.0,34.5,6,141,1.0,1.0,1.0,0,415,2.62,4.84
487633,38.71376,-9.1364,Santa Maria Maior,Entire home/apt,2,1.0,1.0,1.0,122.0,61.0,3,124,1.0,1.0,1.0,0,550,3.49,4.93
488241,38.71252,-9.1245,Santa Maria Maior,Entire home/apt,5,2.0,4.0,1.0,176.0,35.2,1,312,0.0,1.0,1.0,1,121,0.86,4.76
488694,38.71275,-9.12475,Santa Maria Maior,Entire home/apt,4,2.0,3.0,1.0,220.0,55.0,1,282,0.0,1.0,1.0,1,128,0.8,4.91
489178,38.71214,-9.12936,Santa Maria Maior,Entire home/apt,2,1.0,1.0,1.0,82.0,41.0,6,19,1.0,1.0,1.0,1,455,2.87,4.76
493274,38.72068,-9.13157,So Vicente,Entire home/apt,2,1.0,1.0,1.0,196.0,98.0,2,272,1.0,1.0,1.0,1,842,5.37,4.92
495237,38.7144,-9.12395,So Vicente,Entire home/apt,3,2.0,2.0,1.5,237.0,79.0,4,247,1.0,1.0,1.0,1,437,2.77,4.88
496725,38.84932,-9.45326,So Joo das Lampas e Terrugem,Entire home/apt,4,2.0,3.0,1.0,46.0,11.5,5,192,1.0,1.0,1.0,0,181,1.4,4.8
500107,38.71133,-9.14796,Misericrdia,Entire home/apt,3,1.0,2.0,1.0,139.0,46.333333333333336,4,229,1.0,1.0,1.0,0,597,3.76,4.88
502180,38.71304,-9.14684,Misericrdia,Entire home/apt,2,1.0,1.0,1.0,95.0,47.5,5,236,0.0,1.0,1.0,0,40,0.26,4.75
505847,38.71091,-9.13784,Santa Maria Maior,Entire home/apt,5,2.0,5.0,2.0,211.0,42.2,1,221,1.0,1.0,1.0,1,162,1.08,4.9
506047,38.71382,-9.14689,Misericrdia,Entire home/apt,3,1.0,1.0,1.0,93.0,31.0,2,266,1.0,1.0,1.0,0,294,1.85,4.61
526914,38.70846,-9.19649,Ajuda,Private room,2,1.0,1.0,1.0,73.0,36.5,1,329,1.0,1.0,1.0,0,428,2.98,4.81
528892,38.89015,-9.31153,Igreja Nova e Cheleiros,Entire home/apt,2,2.0,3.0,1.0,65.0,32.5,2,323,1.0,0.0,1.0,0,48,0.32,4.63
535226,38.72735,-9.13494,Arroios,Entire home/apt,12,4.0,10.0,2.0,279.0,23.25,3,321,0.0,1.0,1.0,1,68,0.43,4.37
537107,38.71127,-9.13762,Santa Maria Maior,Entire home/apt,8,3.0,7.0,2.0,249.0,31.125,1,190,1.0,1.0,1.0,1,222,1.41,4.95
538364,38.7144889831543,-9.134299278259276,Santa Maria Maior,Entire home/apt,8,3.0,5.0,2.5,277.0,34.625,3,207,1.0,1.0,1.0,0,158,1.06,4.76
543049,38.71033,-9.14651,Misericrdia,Entire home/apt,6,3.0,7.0,1.0,117.0,19.5,1,313,0.0,1.0,1.0,1,434,2.79,4.58
543783,38.71046,-9.13134,Santa Maria Maior,Entire home/apt,4,2.0,2.0,1.0,180.0,45.0,2,363,1.0,1.0,1.0,1,602,3.85,4.84
544784,38.71656,-9.13428,Santa Maria Maior,Entire home/apt,4,2.0,2.0,1.0,138.0,34.5,3,63,1.0,1.0,1.0,0,93,0.75,4.72
553492,39.1019,-9.28356,"S.Pedro e Santiago, S.Maria e S.Miguel, e Mataces",Entire home/apt,4,1.0,3.0,1.0,73.0,18.25,3,324,0.0,1.0,1.0,0,41,0.38,4.66
